ds,color,size,y_true,y_pred
2024-04-14,Kırmızı,S,6,13.747915729624895
2024-04-15,Kırmızı,S,9,10.525695177588691
2024-04-16,Kırmızı,S,6,10.581088665825503
2024-04-17,Kırmızı,S,11,10.662700723566854
2024-04-18,Kırmızı,S,11,10.961187129764857
2024-04-19,Kırmızı,S,16,8.85843333247652
2024-04-20,Kırmızı,S,11,11.64940762925776
2024-04-21,Kırmızı,S,6,12.399697102266952
2024-04-22,Kırmızı,S,12,9.17747655022779
2024-04-23,Kırmızı,S,19,9.232870038464375
2024-04-24,Kırmızı,S,9,9.314482096206389
2024-04-25,Kırmızı,S,6,9.612968502409519
2024-04-26,Kırmızı,S,6,8.860514920985095
2024-04-27,Kırmızı,S,9,11.651489217768734
2024-04-28,Kırmızı,S,19,12.40177869077308
2024-04-29,Kırmızı,S,8,9.179558138743051
2024-04-30,Kırmızı,S,9,9.234951626971847
2024-05-01,Kırmızı,S,0,9.316563684716877
2024-05-02,Kırmızı,S,14,9.615050090915945
2024-05-03,Kırmızı,S,13,8.862596509500246
2024-05-04,Kırmızı,S,0,11.653570806283442
2024-05-05,Kırmızı,S,5,12.40386027928265
2024-05-06,Kırmızı,S,12,9.181639727253105
2024-05-07,Kırmızı,S,9,9.237033215481672
2024-05-08,Kırmızı,S,5,10.484698935130583
2024-05-09,Kırmızı,S,5,10.78318534132997
2024-05-10,Kırmızı,S,12,10.030731759912037
2024-05-11,Kırmızı,S,23,12.821706056687532
2024-05-12,Kırmızı,S,15,13.571995529695435
2024-05-13,Kırmızı,S,8,10.349774977661442
2024-05-14,Kırmızı,S,6,10.405168465896717
2024-05-15,Kırmızı,S,7,10.48678052364041
2024-05-16,Kırmızı,S,13,9.619213267937987
2024-05-17,Kırmızı,S,5,10.217059902388348
2024-05-18,Kırmızı,S,10,13.008034199169979
2024-05-19,Kırmızı,S,7,13.758323672172743
2024-05-20,Kırmızı,S,3,10.536103120139234
2024-05-21,Kırmızı,S,7,10.59149660837428
2024-05-22,Kırmızı,S,11,10.673108666116715
2024-05-23,Kırmızı,S,6,10.97159507231975
2024-05-24,Kırmızı,S,15,8.868841275032548
2024-05-25,Kırmızı,S,5,11.659815571806263
2024-05-26,Kırmızı,S,13,12.410105044817985
2024-05-27,Kırmızı,S,16,9.187884492786004
2024-05-28,Kırmızı,S,8,9.24327798101315
2024-05-29,Kırmızı,S,6,9.324890038755589
2024-05-30,Kırmızı,S,13,9.623376444957414
2024-05-31,Kırmızı,S,8,8.870922863541121
2024-06-01,Kırmızı,S,14,11.66189716032097
2024-06-02,Kırmızı,S,19,12.412186633327556
2024-06-03,Kırmızı,S,13,9.189966081296058
2024-06-04,Kırmızı,S,12,9.245359569524979
2024-06-05,Kırmızı,S,2,9.326971627266738
2024-06-06,Kırmızı,S,19,9.625458033466032
2024-06-07,Kırmızı,S,21,8.87300445204679
2024-06-08,Kırmızı,S,11,11.66397874883568
2024-06-09,Kırmızı,S,21,13.764568437704638
2024-06-10,Kırmızı,S,10,10.5423478856746
2024-06-11,Kırmızı,S,8,10.597741373905757
2024-06-12,Kırmızı,S,19,10.679353431646259
2024-06-13,Kırmızı,S,5,10.977839837845604
2024-06-14,Kırmızı,S,11,8.875086040555363
2024-06-15,Kırmızı,S,30,11.666060337342918
2024-06-16,Kırmızı,S,18,13.766650026217649
2024-06-17,Kırmızı,S,8,10.544429474182188
2024-06-18,Kırmızı,S,16,10.599822962413228
2024-06-19,Kırmızı,S,7,10.681435020156748
